准确率: 0.42
精确率: 0.4375333000333
召回率: 0.4422637085137085
F1分数: 0.40177148831560594
类别僵蚕: 准确率: 0.8933333333333333, 精确率: 0.5934868051656373, 召回率: 0.6312056737588653, F1分数: 0.6075866579463702
类别党参: 准确率: 0.94, 精确率: 0.47315436241610737, 召回率: 0.4964788732394366, F1分数: 0.4845360824742268
类别天南星: 准确率: 0.96, 精确率: 0.7928571428571429, 召回率: 0.8609154929577465, F1分数: 0.8226950354609929
类别枸杞: 准确率: 0.98, 精确率: 0.9428571428571428, 召回率: 0.9054937867887509, F1分数: 0.9231950844854071
类别槐花: 准确率: 0.9466666666666667, 精确率: 0.7682317682317682, 召回率: 0.7115839243498818, F1分数: 0.7359154929577465
类别牛蒡子: 准确率: 0.94, 精确率: 0.6493055555555556, 召回率: 0.6288711288711288, F1分数: 0.6381667113374431
类别牡丹皮: 准确率: 0.96, 精确率: 0.9798657718120805, 召回率: 0.5714285714285714, F1分数: 0.6147260273972603
类别猪苓: 准确率: 0.9666666666666667, 精确率: 0.8197278911564625, 召回率: 0.6631944444444444, F1分数: 0.7136311569301259
类别甘草: 准确率: 0.9266666666666666, 精确率: 0.7222222222222222, 召回率: 0.6255722694571615, F1分数: 0.6570359592600291
类别百合: 准确率: 0.9066666666666666, 精确率: 0.5434565434565435, 召回率: 0.5342789598108747, F1分数: 0.5378521126760563
类别百部: 准确率: 0.9266666666666666, 精确率: 0.6813587871982033, 召回率: 0.784330985915493, F1分数: 0.7183819764464925
类别竹叶: 准确率: 0.9466666666666667, 精确率: 0.7200784826684107, 召回率: 0.8361638361638362, F1分数: 0.7635933806146572
类别竹茹: 准确率: 0.9666666666666667, 精确率: 0.7430555555555556, 召回率: 0.789655172413793, F1分数: 0.7640767536961308
类别紫草: 准确率: 0.9733333333333334, 精确率: 0.7142857142857143, 召回率: 0.9863945578231292, F1分数: 0.7931034482758621
类别红藤: 准确率: 0.9533333333333334, 精确率: 0.65625, 召回率: 0.6862068965517241, F1分数: 0.6697074551745832
类别艾叶: 准确率: 0.9, 精确率: 0.6111837802485285, 召回率: 0.6214285714285714, F1分数: 0.6159754224270353
类别荆芥: 准确率: 0.9466666666666667, 精确率: 0.47333333333333333, 召回率: 0.5, F1分数: 0.4863013698630137
类别金银花: 准确率: 0.9133333333333333, 精确率: 0.5765206017004578, 召回率: 0.6354166666666666, F1分数: 0.5946788609436707
类别黄柏: 准确率: 0.9866666666666667, 精确率: 0.993103448275862, 召回率: 0.8571428571428572, F1分数: 0.9131944444444444
类别黄芪: 准确率: 0.9066666666666666, 精确率: 0.6175373134328358, 召回率: 0.7916666666666666, F1分数: 0.6566383257030739
